;Tweets;Followers;Following;Followers ratio;Listed;Replies/100derniers;Tweets with @mentions/100derniers;Tweets with #hashtags/100derniers;Retweets/100;Tweets with links/100derniers;Tweets with media/100derniers;Mot prefere;twitter;date_scrap;nom;DEPSIR
138;444.0;2008.0;1242.0;1.62;90.0;6.0;45.0;34.0;21.0;50.0;19.0;permanence;JMaquetDeputee;01/01/2022;Jacqueline Maquet;6202
139;142.0;1400.0;176.0;7.95;72.0;0.0;72.0;21.0;67.0;23.0;31.0;ferrara;jjferrarafb;01/01/2022;Jean-Jacques Ferrara;2A01
140;831.0;2925.0;795.0;3.68;106.0;1.0;36.0;30.0;10.0;89.0;2.0;toulouse;jfportarrieu;01/01/2022;Jean-François Portarrieu;3105
141;8848.0;13086.0;2988.0;4.38;188.0;4.0;77.0;20.0;41.0;57.0;4.0;cest;robinreda;01/01/2022;Robin Reda;9107
142;10851.0;5960.0;1082.0;5.51;91.0;13.0;93.0;40.0;78.0;9.0;2.0;merci;LaurenceVanceu;01/01/2022;Laurence Vanceunebrock;0302
143;5347.0;22386.0;3343.0;6.7;217.0;2.0;57.0;34.0;47.0;51.0;7.0;depuis;marielebec78;01/01/2022;Marie Lebec;7804
144;11116.0;8500.0;2267.0;3.75;140.0;10.0;65.0;17.0;42.0;51.0;7.0;cest;ValeriePetit_AN;01/01/2022;Valérie Petit;5909
145;1440.0;1891.0;390.0;4.85;40.0;4.0;48.0;19.0;40.0;40.0;17.0;sanitaire;Joseevrard62;01/01/2022;José Evrard;6203
146;5083.0;34374.0;400.0;85.94;275.0;7.0;61.0;27.0;32.0;67.0;4.0;cest;CarolineFiat54;01/01/2022;Caroline Fiat;5406
147;2848.0;3244.0;2381.0;1.36;123.0;0.0;20.0;19.0;10.0;84.0;8.0;matin;MarcDelatte;01/01/2022;Marc Delatte;0204
148;4119.0;6246.0;2275.0;2.75;107.0;2.0;57.0;45.0;42.0;58.0;4.0;loi;olivierdam1;01/01/2022;Olivier Damaisin;4703
149;4285.0;34131.0;1735.0;19.67;338.0;1.0;62.0;12.0;55.0;44.0;5.0;cryptoactifs;pierr_person;01/01/2022;Pierre Person;7506
150;1074.0;6893.0;150.0;45.95;97.0;1.0;79.0;29.0;66.0;38.0;1.0;commission;JLBourlanges;01/01/2022;Jean-Louis Bourlanges;9212
151;1850.0;6398.0;181.0;35.35;179.0;5.0;57.0;15.0;42.0;37.0;6.0;jai;doorjean;01/01/2022;Jean-Pierre Door;4504
152;3784.0;3521.0;1118.0;3.15;184.0;1.0;87.0;49.0;78.0;21.0;12.0;france;ThierryBenoit35;01/01/2022;Thierry Benoit;3506
153;2986.0;6221.0;612.0;10.17;115.0;3.0;59.0;44.0;46.0;53.0;1.0;soir;Vidal7602;01/01/2022;Annie Vidal;7602
154;6484.0;14995.0;2876.0;5.21;156.0;12.0;84.0;32.0;58.0;38.0;4.0;cest;fionalazaar;01/01/2022;Fiona Lazaar;9505
155;328.0;2361.0;511.0;4.62;111.0;1.0;46.0;34.0;29.0;69.0;6.0;cette;AudeBono;01/01/2022;Aude Bono-Vandorme;0201
156;1176.0;4482.0;556.0;8.06;116.0;1.0;33.0;49.0;2.0;86.0;9.0;jeunes;brigitte_liso;01/01/2022;Brigitte Liso;5904
157;7911.0;34596.0;6839.0;5.06;246.0;5.0;53.0;35.0;23.0;60.0;15.0;franais;sebchenu;01/01/2022;Sébastien Chenu;5919
158;18794.0;10006.0;1116.0;8.97;113.0;47.0;72.0;18.0;7.0;68.0;9.0;cest;ThillAgnes;01/01/2022;Agnès Thill;6002
159;6833.0;4488.0;1494.0;3.0;122.0;0.0;92.0;34.0;89.0;11.0;3.0;cette;BertrandBouyx;01/01/2022;Bertrand Bouyx;1405
160;2095.0;7599.0;849.0;8.95;133.0;0.0;81.0;48.0;49.0;50.0;8.0;cest;JeanTerlier;01/01/2022;Jean Terlier;8103
161;608.0;736.0;205.0;3.59;41.0;3.0;45.0;28.0;34.0;52.0;14.0;mayotte;RamlatiAli;01/01/2022;Ramlati Ali;097601
162;1612.0;2453.0;1035.0;2.37;110.0;4.0;37.0;41.0;3.0;91.0;2.0;jura;dbrulebois;01/01/2022;Danielle Brulebois;3901
163;2914.0;3095.0;2375.0;1.3;107.0;0.0;44.0;37.0;35.0;63.0;5.0;loi;Gauvain_Raphael;01/01/2022;Raphaël Gauvain;7105
164;2496.0;14333.0;404.0;35.48;218.0;3.0;71.0;24.0;41.0;54.0;3.0;paris;PacomeRupin;01/01/2022;Pacôme Rupin;7507
165;6936.0;2473.0;432.0;5.72;127.0;2.0;70.0;40.0;62.0;36.0;3.0;travail;jacqlinedubois;01/01/2022;Jacqueline Dubois;2404
166;301.0;1127.0;913.0;1.23;4.0;6.0;72.0;21.0;58.0;26.0;19.0;cest;SebCazenove;01/01/2022;Sébastien Cazenove;6604
167;5445.0;4897.0;2801.0;1.75;176.0;2.0;78.0;21.0;69.0;28.0;7.0;plus;LudovicMDS;01/01/2022;Ludovic Mendes;5702
168;6073.0;2819.0;1608.0;1.75;106.0;1.0;91.0;60.0;79.0;23.0;3.0;plan;TurquoisNicolas;01/01/2022;Nicolas Turquois;8604
169;1917.0;2178.0;1191.0;1.83;57.0;1.0;71.0;28.0;40.0;51.0;12.0;budget;stephane_teste;01/01/2022;Stéphane Testé;9312
170;6567.0;61437.0;457.0;134.44;668.0;0.0;44.0;35.0;32.0;62.0;6.0;l@assembleenat;ericwoerth;01/01/2022;Éric Woerth;6004
171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Joachim Son-Forget;099906
172;9543.0;21335.0;6009.0;3.55;236.0;2.0;61.0;43.0;35.0;58.0;13.0;cest;lauriannerossi;01/01/2022;Laurianne Rossi;9211
173;12753.0;31304.0;3094.0;10.12;290.0;28.0;80.0;19.0;37.0;38.0;1.0;plus;Aurelientache;01/01/2022;Aurélien Taché;9510
174;1924.0;4539.0;3047.0;1.49;131.0;8.0;41.0;32.0;21.0;68.0;13.0;cest;BBrocard;01/01/2022;Blandine Brocard;6905
175;6493.0;12421.0;3335.0;3.72;150.0;13.0;62.0;25.0;28.0;67.0;3.0;depuis;FJolivet36;01/01/2022;François Jolivet;3601
176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Guy Bricout;5918
177;2200.0;1639.0;777.0;2.11;71.0;2.0;40.0;31.0;30.0;64.0;5.0;jai;laurencegayte;01/01/2022;Laurence Gayte;6603
178;5341.0;17569.0;1011.0;17.38;191.0;1.0;36.0;40.0;17.0;79.0;7.0;ans;Michel_Larive;01/01/2022;Michel Larive;0902
179;226.0;2082.0;1077.0;1.93;88.0;0.0;55.0;38.0;48.0;44.0;9.0;nationale;j_pVigier;01/01/2022;Jean-Pierre Vigier;4302
180;3881.0;3890.0;1229.0;3.17;110.0;27.0;86.0;37.0;45.0;33.0;5.0;matin;CORDIERPierre08;01/01/2022;Pierre Cordier;0802
181;2033.0;2087.0;470.0;4.44;93.0;1.0;66.0;35.0;49.0;57.0;1.0;tous;david_lorion;01/01/2022;David Lorion;097404
182;2897.0;2609.0;930.0;2.81;90.0;4.0;69.0;48.0;49.0;47.0;2.0;publique;elodiejala;01/01/2022;Élodie Jacquier-Laforge;3809
183;1656.0;2029.0;965.0;2.1;0.0;5.0;99.0;29.0;93.0;9.0;6.0;foncier;Sempastoushp;01/01/2022;Jean-Bernard Sempastous;6501
184;64.0;1056.0;194.0;5.44;73.0;0.0;34.0;47.0;33.0;20.0;11.0;soir;JCattin2017;01/01/2022;Jacques Cattin;6802
185;5551.0;8512.0;8395.0;1.01;160.0;2.0;65.0;16.0;39.0;62.0;2.0;travail;RomainGrau;01/01/2022;Romain Grau;6601
186;794.0;1148.0;133.0;8.63;57.0;0.0;85.0;39.0;84.0;18.0;2.0;merci;BattistelMarie;01/01/2022;Marie-Noëlle Battistel;3804
187;832.0;1625.0;794.0;2.05;69.0;0.0;92.0;44.0;98.0;3.0;0.0;entre;AnneBlanc_12;01/01/2022;Anne Blanc;1202
188;12137.0;40317.0;649.0;62.12;344.0;18.0;60.0;49.0;32.0;68.0;0.0;plus;lachaudb;01/01/2022;Bastien Lachaud;9306
189;8770.0;6494.0;2117.0;3.07;122.0;4.0;31.0;1.0;27.0;45.0;2.0;politiques;fpetitAN;01/01/2022;Frédéric Petit;099907
190;16736.0;4099.0;1542.0;2.66;0.0;12.0;59.0;33.0;29.0;64.0;1.0;plus;tgassilloud;01/01/2022;Thomas Gassilloud;6910
191;29.0;337.0;207.0;1.63;8.0;0.0;6.0;1.0;6.0;23.0;0.0;chapelle;HubertWulfranc;01/01/2022;Hubert Wulfranc;7603
192;2936.0;5077.0;2299.0;2.21;140.0;10.0;61.0;68.0;5.0;90.0;0.0;matin;didierlegac;01/01/2022;Didier Le Gac;2903
193;103.0;978.0;344.0;2.84;67.0;5.0;49.0;22.0;35.0;54.0;9.0;runion;NathalieBassire;01/01/2022;Nathalie Bassire;097403
194;1345.0;2898.0;755.0;3.84;75.0;1.0;74.0;29.0;62.0;36.0;5.0;tous;vbazinmalgras;01/01/2022;Valérie Bazin-Malgras;1002
195;982.0;3978.0;640.0;6.22;115.0;3.0;72.0;50.0;59.0;38.0;11.0;liste;MarieAngeMagne;01/01/2022;Marie-Ange Magne;8703
196;7863.0;5067.0;1737.0;2.92;125.0;0.0;99.0;47.0;97.0;5.0;8.0;plus;christophearend;01/01/2022;Christophe Arend;5706
197;2168.0;6385.0;313.0;20.4;133.0;2.0;98.0;31.0;96.0;5.0;7.0;plus;V_Hammerer;01/01/2022;Véronique Hammerer;3311
198;3495.0;1873.0;191.0;9.81;91.0;0.0;92.0;24.0;90.0;13.0;5.0;ans;alainramadier;01/01/2022;Alain Ramadier;9310
199;3174.0;5358.0;997.0;5.37;134.0;3.0;48.0;52.0;15.0;83.0;3.0;jai;Daniele_herin;01/01/2022;Danièle Hérin;1101
200;2688.0;1586.0;3143.0;0.5;31.0;2.0;69.0;23.0;43.0;55.0;4.0;cest;sandrinejossoan;01/01/2022;Sandrine Josso;4407
201;3987.0;4657.0;1184.0;3.93;125.0;1.0;73.0;40.0;44.0;58.0;2.0;mission;PhilippeHuppe;01/01/2022;Philippe Huppé;3405
202;1281.0;7355.0;546.0;13.47;127.0;0.0;52.0;29.0;32.0;71.0;2.0;cest;mguevenoux;01/01/2022;Marie Guévenoux;9109
203;8107.0;6788.0;3628.0;1.87;181.0;5.0;70.0;29.0;54.0;44.0;6.0;cette;g_gouffiercha;01/01/2022;Guillaume Gouffier-Cha;9406
204;1258.0;7756.0;180.0;43.09;101.0;1.0;42.0;10.0;22.0;67.0;15.0;jai;Castellani_;01/01/2022;Michel Castellani;2B01
205;187.0;1063.0;100.0;10.63;71.0;2.0;43.0;9.0;37.0;60.0;4.0;aujourdhui;michelfanget;01/01/2022;Michel Fanget;6304
206;5243.0;4393.0;598.0;7.35;136.0;1.0;37.0;12.0;12.0;89.0;2.0;matin;damienadam76;01/01/2022;Damien Adam;7601
207;8622.0;121123.0;2335.0;51.87;559.0;3.0;78.0;40.0;45.0;48.0;4.0;cest;jclagarde;01/01/2022;Jean-Christophe Lagarde;9305
208;408.0;1271.0;305.0;4.17;53.0;8.0;88.0;32.0;70.0;26.0;3.0;cette;ChassaingPh;01/01/2022;Philippe Chassaing;2401
209;3639.0;5643.0;619.0;9.12;125.0;1.0;66.0;30.0;47.0;55.0;1.0;jeunes;christoblanchet;01/01/2022;Christophe Blanchet;1404
210;3716.0;6048.0;802.0;7.54;113.0;1.0;51.0;21.0;25.0;65.0;15.0;jai;SylvieCharriere;01/01/2022;Sylvie Charrière;9308
211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Michel Herbillon;9408
212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Bernard Brochand;0608
213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Philippe Dunoyer;098801
214;15026.0;31587.0;4291.0;7.36;341.0;2.0;82.0;24.0;68.0;31.0;8.0;cest;sylvainmaillard;01/01/2022;Sylvain Maillard;7501
215;3796.0;7695.0;1713.0;4.49;156.0;7.0;82.0;22.0;68.0;30.0;3.0;enfants;CarolineJanvier;01/01/2022;Caroline Janvier;4502
216;11313.0;15379.0;743.0;20.7;182.0;0.0;67.0;20.0;38.0;60.0;6.0;cest;verdierjouclas;01/01/2022;Marie-Christine Verdier-Jouclas;8102
217;2900.0;1328.0;254.0;5.23;79.0;5.0;60.0;28.0;50.0;40.0;4.0;aujourdhui;CKamowski3805;01/01/2022;Catherine Kamowski;3805
218;2374.0;3242.0;1314.0;2.47;80.0;1.0;58.0;32.0;38.0;63.0;0.0;mer;SoPanonacle;01/01/2022;Sophie Panonacle;3308
219;1461.0;2877.0;983.0;2.93;112.0;0.0;38.0;27.0;15.0;86.0;1.0;matin;BuonTAN;01/01/2022;Buon Tan;7509
220;3123.0;4143.0;644.0;6.43;101.0;5.0;68.0;51.0;44.0;47.0;9.0;matin;GirardinEric;01/01/2022;Éric Girardin;5103
221;2514.0;6723.0;562.0;11.96;183.0;0.0;9.0;25.0;1.0;72.0;18.0;jai;fpupponi;01/01/2022;François Pupponi;9508
222;620.0;1675.0;481.0;3.48;0.0;0.0;18.0;3.0;4.0;86.0;12.0;cest;DenisSommer;01/01/2022;Denis Sommer;2503
223;3821.0;14055.0;1629.0;8.63;358.0;2.0;38.0;57.0;18.0;76.0;7.0;tous;marclefur;01/01/2022;Marc Le Fur;2203
224;23260.0;2650750.0;3272.0;810.13;5265.0;0.0;6.0;24.0;0.0;95.0;6.0;france;MLP_officiel;01/01/2022;Marine Le Pen;6211
225;5441.0;4508.0;373.0;12.09;123.0;0.0;54.0;17.0;47.0;52.0;3.0;tous;NicoleDubre17;01/01/2022;Nicole Dubré-Chirat;4906
226;8302.0;261950.0;1241.0;211.08;1092.0;4.0;27.0;8.0;20.0;75.0;5.0;cest;Francois_Ruffin;01/01/2022;François Ruffin;8001
227;8767.0;9015.0;1429.0;6.31;0.0;14.0;64.0;53.0;30.0;60.0;3.0;trs;yfavennec;01/01/2022;Yannick Favennec-Bécot;5303
228;2181.0;6478.0;1527.0;4.24;176.0;1.0;76.0;23.0;61.0;40.0;7.0;prsident;PatrickMignola;01/01/2022;Patrick Mignola;7304
229;3390.0;5280.0;785.0;6.73;131.0;2.0;51.0;71.0;15.0;78.0;8.0;matin;corinnevignon;01/01/2022;Corinne Vignon;3103
230;1499.0;2762.0;430.0;6.42;84.0;3.0;44.0;27.0;19.0;81.0;1.0;matin;lise_magnier;01/01/2022;Lise Magnier;5104
231;15981.0;31018.0;1327.0;23.37;344.0;8.0;77.0;36.0;64.0;28.0;2.0;cest;ugobernalicis;01/01/2022;Ugo Bernalicis;5902
232;8458.0;5508.0;3214.0;1.71;113.0;13.0;67.0;26.0;22.0;71.0;7.0;france;FCBDeputeduCher;01/01/2022;François Cormier-Bouligeon;1801
233;5601.0;3548.0;3784.0;0.94;106.0;0.0;89.0;28.0;89.0;10.0;3.0;plus;jlbricout;01/01/2022;Jean-Louis Bricout;0203
234;6905.0;6044.0;626.0;9.65;113.0;0.0;98.0;35.0;95.0;9.0;6.0;cest;MichelePeyron;01/01/2022;Michèle Peyron;7709
235;1154.0;3533.0;4233.0;0.83;105.0;2.0;72.0;21.0;54.0;45.0;1.0;cette;DavidDhabib;01/01/2022;David Habib;6403
236;420.0;1705.0;459.0;3.71;75.0;1.0;47.0;16.0;5.0;76.0;20.0;jai;genevievelevy83;01/01/2022;Geneviève Levy;8301
237;373.0;2690.0;200.0;13.45;93.0;1.0;36.0;22.0;19.0;77.0;3.0;jai;jmsermier;01/01/2022;Jean-Marie Sermier;3903
238;1179.0;5643.0;337.0;16.74;129.0;1.0;46.0;32.0;37.0;64.0;3.0;loi;V_Riotton;01/01/2022;Véronique Riotton;7401
239;3798.0;5963.0;1999.0;2.98;132.0;27.0;57.0;16.0;20.0;64.0;5.0;jai;PBertaGard;01/01/2022;Philippe Berta;3006
240;25100.0;6714.0;1410.0;4.76;333.0;25.0;54.0;45.0;6.0;90.0;2.0;soir;MIRALLESMP;01/01/2022;Patricia Mirallès;3401
241;3298.0;12895.0;1460.0;8.83;162.0;4.0;65.0;39.0;51.0;47.0;6.0;merci;Sonia_Krimi;01/01/2022;Sonia Krimi;5004
242;35424.0;12056.0;3142.0;3.84;766.0;35.0;77.0;22.0;32.0;40.0;15.0;cest;ebothorel;01/01/2022;Éric Bothorel;2205
243;8959.0;25562.0;4335.0;5.9;265.0;15.0;48.0;42.0;14.0;74.0;8.0;franais;rolandlescure;01/01/2022;Roland Lescure;099901
244;3250.0;5707.0;713.0;8.0;125.0;2.0;41.0;13.0;33.0;62.0;5.0;projet;lecocqcharlotte;01/01/2022;Charlotte Parmentier-Lecocq;5906
245;11020.0;10882.0;3603.0;3.02;141.0;6.0;47.0;27.0;18.0;68.0;11.0;cest;agnesfirmin;01/01/2022;Agnès Firmin Le Bodo;7607
246;2801.0;5674.0;1457.0;3.89;128.0;4.0;74.0;23.0;62.0;37.0;3.0;dputs;fabiennecolboc;01/01/2022;Fabienne Colboc;3704
247;596.0;721.0;1764.0;0.41;15.0;0.0;89.0;50.0;64.0;40.0;23.0;agenda;chrisjerretie;01/01/2022;Christophe Jerretie;1901
248;2781.0;4315.0;1977.0;2.18;139.0;0.0;90.0;46.0;72.0;29.0;9.0;cest;dmartindijon;01/01/2022;Didier Martin;2101
249;1044.0;1502.0;54.0;27.81;101.0;83.0;96.0;5.0;13.0;87.0;0.0;cest;jeromelambert16;01/01/2022;Jérôme Lambert;1603
250;2353.0;1861.0;726.0;2.56;75.0;0.0;62.0;62.0;31.0;62.0;8.0;jai;AudeLuquet77;01/01/2022;Aude Luquet;7701
251;8261.0;5632.0;3656.0;1.54;133.0;0.0;73.0;22.0;63.0;40.0;6.0;nationale;Jean_LucFUGIT;01/01/2022;Jean-Luc Fugit;6911
252;3010.0;7511.0;574.0;13.09;166.0;5.0;80.0;21.0;68.0;30.0;9.0;france;HerveBerville;01/01/2022;Hervé Berville;2202
253;1019.0;2533.0;260.0;9.74;142.0;1.0;71.0;42.0;62.0;39.0;1.0;merci;ydaniel_depute;01/01/2022;Yves Daniel;4406
254;7853.0;5985.0;1177.0;5.08;115.0;5.0;70.0;38.0;50.0;49.0;9.0;cest;FGouttefarde;01/01/2022;Fabien Gouttefarde;2702
255;3385.0;3571.0;3875.0;0.92;0.0;12.0;39.0;37.0;6.0;90.0;2.0;mission;DeputeCabareP;01/01/2022;Pierre Cabaré;3101
256;9897.0;18900.0;5575.0;3.39;345.0;0.0;53.0;15.0;47.0;54.0;24.0;tout;DubyMuller;01/01/2022;Virginie Duby-Muller;7404
257;15031.0;8636.0;4619.0;1.87;224.0;4.0;73.0;67.0;25.0;70.0;10.0;jai;PatrickVignal;01/01/2022;Patrick Vignal;3409
258;9522.0;4107.0;1149.0;3.57;176.0;5.0;56.0;25.0;26.0;66.0;9.0;runion;JKrabal;01/01/2022;Jacques Krabal;0205
259;896.0;2700.0;523.0;5.16;105.0;18.0;64.0;22.0;41.0;45.0;6.0;vux;poletti_b;01/01/2022;Bérengère Poletti;0801
260;4957.0;27231.0;1374.0;19.82;283.0;5.0;54.0;41.0;36.0;62.0;3.0;lois;YaelBRAUNPIVET;01/01/2022;Yaël Braun-Pivet;7805
261;1179.0;3045.0;529.0;5.76;97.0;5.0;86.0;35.0;75.0;23.0;6.0;plus;JimmyPahun;01/01/2022;Jimmy Pahun;5602
262;455.0;2318.0;95.0;24.4;0.0;6.0;66.0;22.0;44.0;56.0;2.0;cest;becht_olivier;01/01/2022;Olivier Becht;6805
263;5927.0;2412.0;1329.0;1.81;165.0;9.0;94.0;45.0;79.0;24.0;3.0;lunanimit;MainaSage;01/01/2022;Maina Sage;098701
264;2425.0;3325.0;129.0;25.78;81.0;0.0;90.0;44.0;84.0;17.0;9.0;plus;claireopetit;01/01/2022;Claire O'Petit;2705
265;4016.0;6881.0;1442.0;4.77;172.0;1.0;64.0;46.0;16.0;84.0;4.0;plus;JCColasRoy;01/01/2022;Jean-Charles Colas-Roy;3802
266;5429.0;6135.0;1537.0;3.99;147.0;1.0;40.0;20.0;21.0;76.0;7.0;affaires;SabineThillaye;01/01/2022;Sabine Thillaye;3705
267;730.0;2577.0;365.0;7.06;79.0;0.0;51.0;37.0;36.0;63.0;3.0;cette;TrastourIsnart;01/01/2022;Laurence Trastour-Isnart;0606
268;2079.0;5270.0;332.0;15.87;116.0;0.0;53.0;77.0;51.0;49.0;2.0;heures;VincentThiebaut;01/01/2022;Vincent Thiébaut;6709
269;4502.0;5212.0;1259.0;4.14;119.0;0.0;86.0;35.0;84.0;15.0;6.0;plus;JeanPierrePont;01/01/2022;Jean-Pierre Pont;6205
270;3099.0;3663.0;313.0;11.7;128.0;1.0;41.0;35.0;23.0;72.0;5.0;jai;Anissa_Khedher;01/01/2022;Anissa Khedher;6907
271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Jean-Yves Bony;1502
272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;NON;0;Frédéric Reiss;6708
273;3889.0;5445.0;1220.0;4.46;134.0;10.0;67.0;33.0;41.0;57.0;1.0;contre;RaphaelGerard17;01/01/2022;Raphaël Gérard;1704
274;2127.0;12149.0;787.0;15.44;119.0;0.0;61.0;40.0;56.0;44.0;2.0;jai;BrunoBilde;01/01/2022;Bruno Bilde;6212
275;2438.0;15170.0;346.0;43.84;180.0;3.0;34.0;47.0;6.0;89.0;2.0;cest;SabineRubinFI93;01/01/2022;Sabine Rubin;9309
276;28597.0;83074.0;2178.0;38.14;616.0;1.0;76.0;35.0;61.0;33.0;6.0;cest;ericcoquerel;01/01/2022;Éric Coquerel;9301
277;2335.0;4806.0;1528.0;3.15;131.0;3.0;40.0;72.0;14.0;81.0;2.0;jai;J_M_Jacques;01/01/2022;Jean-Michel Jacques;5606
